"Case Number","Date",,"Address","Charge","Charge Description",,
20140420009,"4/20/2014 12:00:00AM",,"3099 HIGH POINT RD/I-40 E","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140424047,"4/24/2014","4:37:00AM","3199 RANDLEMAN RD/GLENDALE DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140424122,"4/24/2014 10:53:00AM",,"8555 W MARKET ST/NC 68 N","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140424150,"4/24/2014 12:02:00PM",,"699 FRIENDWAY RD/COBLE FARM DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140418060,"4/18/2014","2:56:00AM","499 S BOOKER ST/CUNNINGHAM ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140424355,"4/24/2014","8:44:00PM","2617 BATTLEGROUND AV/BENJAMIN PKWY","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140424063,"4/24/2014 12:00:00AM",,"705 BATTLEGROUND AV","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140422307,"4/22/2014 12:00:00AM",,"2299 N CHURCH ST/12TH ST","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140425047,"4/25/2014","5:51:00AM","3699 W FRIENDLY AV/N HOLDEN RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140423275,"4/23/2014","5:15:00PM","2602 S HOLDEN RD/STONESTHROW RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140425098,"4/25/2014 10:26:00AM",,"1063 E WENDOVER AV","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140423319,"4/23/2014 12:00:00AM",,"2599 S ELM-EUGENE ST/PATTON AV","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140426174,"4/26/2014","3:02:00PM","1999 W VANDALIA RD/PINECROFT RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140427024,"4/27/2014","1:32:00AM","5799 W MARKET ST/GUILFORD COLLEGE RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140426298,"4/26/2014","9:22:00PM","499 S BOOKER ST/CUNNINGHAM ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140427101,"4/27/2014 12:06:00PM",,"821 PEARSON ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140427121,"4/27/2014","1:05:00PM","1199 EAGLE RD/PEPPER HILL RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140421019,"4/21/2014","1:28:00AM","375 S ELM ST/W MCGEE ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140420247,"4/20/2014 10:06:00PM",,"100 S ELM ST/E MARKET ST","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140420029,"4/20/2014","1:31:00AM","299 E MARKET ST/N CHURCH ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140428137,"4/28/2014","3:45:00PM","1199 EAGLE RD/PEPPER HILL RD","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140428176,"4/28/2014","6:46:00PM","399 COLLEGE RD/GUIDA DR","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140424218,"4/24/2014 12:00:00AM",,"1199 WILLARD ST/TEXTILE DR","20-158","FAIL TO STOP AT RED LIGHT/STOP SIGN",,
20140412061,"4/12/2014 12:00:00AM",,"3001 PLEASANT GARDEN RD/J M HUNT JR EXPY N","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140428006,"4/28/2014 12:00:00AM",,"1599 SPRING GARDEN ST/S AYCOCK ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140428254,"4/28/2014 11:58:00PM",,"21 OAK BRANCH DR","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140429004,"4/29/2014 12:14:00AM",,"1 US 29 S/MARTIN LUTHER KING JR DR","20-158(B)(2)(A)","ILLEGAL RIGHT TURN ON RED",,
20140428237,"4/28/2014 11:11:00PM",,"4399 HEWITT ST/NORWALK ST","20-158(B)","FAILURE TO STOP AT STOP SIGN/FLASHING RED LIGHT",,
20140418313,"4/18/2014 10:50:47PM",,"599 HUFFINE MILL RD/E BESSEMER AV","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140424261,"4/24/2014","3:45:00PM","1599 NEW GARDEN RD/HORSE PEN CREEK RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140428214,"4/28/2014","9:33:00PM","3499 S ELM-EUGENE ST/W VANDALIA RD","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
20140429216,"4/29/2014","6:16:00PM","213 I-40 E/W WENDOVER AV","20-158(B2)","FAILURE TO STOP AT STOPLIGHT",,
